text,century,city,year
--- (с) -остер… (села) …[и]ю ӏ ѳомѣ шло ӏ (дару ӏ п)озема трицать ӏ три бл‐ (ѣ) [а] с лути(ѧнова села шло ӏ п)озема ӏ дару (по бѣл)кѣ а сменова села шло (ӏ по)зема ӏ д(ару) ---------- блъ ӏ полоть а с -----ина села шло ӏ позема ӏ дару ·м· блъ ӏ … (а с) …[ик]---ина села шло [ӏ] (позе)ма ӏ дару ·к· блъ ӏ шесть блъ а с васильѥва с[е](ла ·-· бл)ъ а [с] --руньского села (шло ·)к· блъ дару а с овсѣѥва села шло ·к· блъ дару а шадрина села шло ·к· блъ дар(у с о)[с]ипова села ӏ позема ӏ дару шло ·м· блъ безъ дву с ошвина села шло (д)ару ·к· {блъ} блъ у гаѳанова села шло ӏ позема ӏ дару ·л· блъ без дво а з бабинихъ (се)ла шло ӏ позема ӏ дару ·л· блъ (а с ------ села шло ӏ) позема ӏ дару шесть десѧтъ блъ ӏ по{ло}лоть а хариѧнова се‐ (ла шло дару) … (а с) …мохова села шло дару ·к· блъ а сменова стан[у] ӏѥву (шло ----------- бѣ)[л]ка ѳомѣ ·д· каци солоду - [ѻ̈вс]а [·л·] кадець ·в· ка‐ (ци ---------- ·-· ка)ци рж(и) --ружиного шло с… … по бѣлкѣ,XIV_2,novgorod,1390
се азо рабо,XIV_2,staraya-russa,1390
н о п р,XI_2,torzhok,1087
поклане[н](ие) … в[л]епоп[е]…,XII_2,smolensk,1190
…[ꙑжоу] …оли …солю : де‐ …,XII_2,pskov,1190
ѿ станимира поклоно ко михалоу ко домажировицоу хоцеши возѧти половиноу коуно ѧ пороуцене отецеве твоемоу по иванока не хоцеши ли да ѧ боле не могоу водат(и),XIII_1,tver,1210
(си) суд судл- … …ѧ дав… …нович … …[а] иска… …оӏло… … ӏ о брт … … гн҃е по… …д гн҃е … …ес ту… …ӏ и… …о ӏ ов… … так рек … и т… …аи-… и суд… …брн…,XV_1,moscow,1415
…[л]уг[и]… …[д]ѣко…,XIII_1,staraya-ryazan,1210
(…) …ънъ а мъне не [н]адобе сем[о] ч… (…),XII_1,zvenigorod,1130
ѿ стьпана ко нежилови оже еси продало портꙑ а коупи ми жита за ·ꙅ҃· гривено али цего еси не продало а посли ми лицеме али еси продало а добро сътворѧ оукоупи ми жита,XIII_2,vitebsk,1290
…[н]ице полу патꙑ гривн [и]ниосм[ь на д]... (…),XIII_1,mstislavl,1210
г·ѧ·ково к тобѣ к тобѣ сѧ : ·ꙩнанико тьсть брать ·ꙩ·стафе : посла·лъ с тобою ѥмь рубле : · ко самълу · рубле : ни мнѣ рубл:ѧ: ни мнѣ проторъвъ,XIV_1,vologda,1330
… ---[р](а)[з]ум[ну · о бра](т) врѣм бѣгаӏ бежи невѣриѧ быша при …,XV_2,pereyaslavl-ryazansky,1475
мѣкꙋѥвь бѣла росомꙋха ꙋ фомѣ ·г҃· кꙋници ꙋ мики ·в҃· кꙋници ꙋ фомѣ сохꙋдаль · дарꙋ кꙋницю вѣльѧказа ·д҃· кꙋниц{а}и · гꙋгморо наволоки кꙋница · ꙋ мѧтещи ·в҃· кꙋници ꙋ вѣльютовꙑхо ·в҃· кꙋници ꙋ воземꙋта ·в҃· кꙋници · ꙋ филипа ·в҃· кꙋници ꙋ намѣста ·в҃· бѣли · ꙋ жидили кꙋница · воликомо ѻстровѣ кꙋница ꙋ вихтимаса ·в҃· бѣлоки · ꙋ гостили ·в҃· кꙋници · ꙋ вѣльюта ·г҃· кꙋници ꙋ лопинкова :ѕ҃: бѣло,XIV_2,novgorod,1370
приказъ ѿ кузми к сину к своѥму к исаку [ко оул]иѧну и к тимофию соли не купи‐ ---------------аи не купѧ с трицѧ ------------[то]и у мосту а просѧ здѣ соли по семи лубовъ за рубль а наши хотѧ давать а на дн҃ь ни луба не продатьсци а просоле здѣ по пѧти гривонъ бочка,XV_1,staraya-russa,1415
+ ѿ маноуилѣ · къ събꙑне покланѧние · продалѣ есьмъ · паволокоу … (гр)[и]в[ь]нъ · -о-ъ …,XII_2,torzhok,1190
ѿ степана ко ж… что людѣи м-… [д]аешѥ ѿло… … [оучкли] …,XII_2,pskov,1190
поклоно ѿ григории ко матьри · буди къ мнѣ на борозѣ · во тържеко сопрѧта{во}воши свои статоко поѣди в торжько · аже застанеше мене ти ѧ тьбе везу или мене не застанешь во торжеку ти тꙑ ту мене жеди а ѧзо по тебе буду само · а цто даше провоза ѧзо во томо до торжеку · увѣдаи{вѣдаи} пущаю ли роже новогороцамо безо пакости ти тꙑ пришли · на борзѣ ти ѧ само ·ѣ·ду,XIV_1,tver,1310
верхняя часть листа -к[ат]и нижняя часть листа … а се х… …[м]ен[ꙑ] [к]…,XV_2,moscow,1475
+ ѿ говѣновое : ко нѣжьньцю дае : ꙅ҃: десѧ коуно лодиеноую повѣдало говѣно ида на соудо : а попъ ѱл҃ъ : а дае лоуцѣ оли нь водаси то ѧ ꙋ конѧзѧ поема отроко прижь приедю а во боле ти вонидь :,XII_1,zvenigorod,1130
